Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
PL05_2;Podregion 62 - m. Poznañ;1554;Total population;total / number;584257;582254;579343;577117;574125;570778;567882;564951;560932;557264;554221;555614;553564;550742;548028;;
PL07_1;Podregion 65 - m. Szczecin;1554;Total population;total / number;416791;416657;415748;415117;414032;411900;411119;409068;407811;406941;406307;410245;409596;408913;408172;;
PL07_2;Powiat goleniowski *;1554;Total population;total / number;81040;81410;81835;77443;77621;78066;78584;78918;79354;79588;79937;81736;81945;82067;82270;;
PL07_3;Powiat gryfiñski;1554;Total population;total / number;82727;82985;83294;83201;83042;82916;82819;83037;83028;83093;82830;84389;84272;84103;83880;;
PL07_4;Powiat policki;1554;Total population;total / number;58060;58589;59373;60098;61141;62479;63462;64785;66436;67937;69087;71135;72326;73333;74483;;
PL08_1;Powiat bydgoski;1554;Total population;total / number;85551;86399;87776;89180;90755;92828;94841;97031;99386;101466;103010;105942;107678;109350;110565;;
PL08_2;Powiat m.Bydgoszcz;1554;Total population;total / number;377412;375676;374352;372104;370245;368235;366074;363468;361222;358928;357650;364443;363020;361254;359428;;
PL10_1;Podregion 45 - bytomski;1554;Total population;total / number;477672;474686;472204;469499;467026;464934;462538;460238;457978;456448;455382;450734;449553;448343;446143;;
PL10_2;Podregion 47 - gliwicki;1554;Total population;total / number;523768;520339;517539;514161;511495;508564;505871;503457;500945;499103;497934;484223;482429;480961;479061;;
PL10_3;Podregion 48 - katowicki;1554;Total population;total / number;816271;809196;803540;797182;791338;786622;781683;776197;771521;767341;764645;765931;762097;757963;752441;;
PL10_4;Powiat rybnicki;1554;Total population;total / number;72925;72810;72827;72941;73099;73439;73469;73652;73931;74215;74509;75995;76367;76597;76915;;
PL10_5;Powiat m.Rybnik;1554;Total population;total / number;143557;143218;142816;142742;142272;141755;141580;141388;141080;141177;141372;141036;140944;140789;140173;;
PL10_6;Podregion 50 - sosnowiecki;1554;Total population;total / number;740914;738000;734584;738095;734929;731643;728212;724638;721377;718842;715600;713326;710208;706494;701830;;
PL10_7;Podregion 51 - tyski;1554;Total population;total / number;382190;382234;381882;382014;381931;382173;382278;382449;382967;383660;385271;389031;390282;391190;392075;;
PL11_1;Powiat biaùostocki;1554;Total population;total / number;139590;139645;139492;138367;138665;139084;139942;137282;138004;138852;139643;142577;143701;144388;144978;;
PL11_2;Powiat m.Biaùystok;1554;Total population;total / number;288756;289233;290091;291660;291931;292150;291823;294830;294143;294153;294685;294155;294298;294921;295282;;
PL13_1;Powiat czæstochowski;1554;Total population;total / number;133999;134074;133853;133629;133689;133873;133729;133582;133823;134037;134103;135448;135630;135404;135549;;
PL13_2;Powiat m.Czæstochowa;1554;Total population;total / number;254071;253133;251932;250862;249453;248032;246890;245030;242300;240612;239319;237203;235798;234472;232318;;
;Gózd(2);1554;Total population;total / number;7636;7710;7733;7787;7889;7929;8028;8054;8145;8198;8275;8295;8348;8406;8477;;
;Jastrzæbia(2);1554;Total population;total / number;6175;6178;6250;6281;6310;6347;6407;6442;6474;6521;6544;6678;6692;6732;6783;;
;Jedliñsk(2);1554;Total population;total / number;12729;12895;12970;13022;13163;13267;13309;13430;13480;13623;13772;13899;14001;14064;14106;;
;Jedlnia-Letnisko(2);1554;Total population;total / number;10568;10662;10755;10894;11007;11222;11410;11504;11677;11766;11905;12114;12216;12348;12411;;
;Kowala(2);1554;Total population;total / number;9758;9894;10049;10194;10324;10456;10571;10747;10835;10985;11134;11448;11554;11679;11845;;
;Skaryszew(3);1554;Total population;total / number;12714;12856;12927;12996;13104;13159;13288;13421;13580;13637;13717;13922;14010;14108;14251;;
;Zakrzew(2);1554;Total population;total / number;10197;10295;10433;10603;10731;10946;11068;11271;11438;11600;11774;12001;12143;12317;12434;;
PL14_1 approx.;Powiat radomski;1554;Total population;total / number;140965;141807;142282;142916;143586;144382;144882;145389;145947;146481;147212;149615;150018;150668;151085;;
PL14_1;part of metro;1554;Total population;total / number;69777;70490;71117;71777;72528;73326;74081;74869;75629;76330;77121;78357;78964;79654;80307;;
PL14_2;Powiat m.Radom;1554;Total population;total / number;230704;230492;229987;229081;228290;227613;227018;225810;224857;224226;223397;221658;220602;219703;218466;;
;Daleszyce(3);1554;Total population;total / number;13987;14104;14210;14264;14419;14587;14692;14800;14964;15084;15189;15463;15516;15534;15556;;
;Górno(2);1554;Total population;total / number;12188;12294;12356;12485;12669;12793;12899;12959;13027;13200;13292;13509;13605;13710;13770;;
;Masùów(2);1554;Total population;total / number;8800;8954;9058;9185;9273;9442;9543;9623;9688;9751;9848;10324;10381;10468;10468;;
;Miedziana Góra(2);1554;Total population;total / number;8992;9170;9268;9409;9610;9837;10009;10031;10208;10257;10342;10674;10782;10949;11074;;
;Morawica(2);1554;Total population;total / number;12021;12205;12379;12566;12782;13046;13279;13483;13768;13897;14149;14634;14910;15129;15373;;
;Piekoszów(2);1554;Total population;total / number;14378;14531;14656;14801;14927;15061;15170;15334;15528;15635;15738;15857;15966;16146;16284;;
;Sitkówka-Nowiny(2);1554;Total population;total / number;6794;6826;6794;6838;6885;6909;6995;6986;7007;7047;7119;7420;7492;7531;7587;;
PL17_1 approx.;Powiat kielecki;1554;Total population;total / number;192963;194012;194670;195529;196540;197467;198376;198857;199847;200623;201643;205475;206261;207085;207588;;
PL17_1;part of metro;1554;Total population;total / number;77160;78084;78721;79548;80565;81675;82587;83216;84190;84871;85677;87881;88652;89467;90112;;
PL17_2;Powiat m.Kielce;1554;Total population;total / number;214242;213469;212763;211810;210639;209455;208193;207188;205902;205094;204835;202450;201815;200938;199870;;
PL06_1 approx.;Podregion 40 - gdañski;1554;Total population;total / number;452858;457143;462123;466226;471296;477405;483299;489826;498360;505881;514420;532663;540477;547320;554144;;
PL06_2;Podregion 43 - trójmiejski;1554;Total population;total / number;760210;758730;757284;756571;755528;752943;750919;748126;745113;743659;742910;748828;748040;747370;747476;;
PL06_1;part of metro;1554;Total population;total / number;;230113;;;;;245996;;;;;;;;;;
;Gdansk;1554;Total population - ESPON;total / number;;988843;;;;;996915;;;;;;;;;;
PL09 approx.;Podregion 11 - lubelski;1554;Total population;total / number;715711;715783;714676;716059;715315;715414;715275;714773;714276;713497;713229;717676;717488;717184;713691;;
PL09;Lublin;1554;Total population - ESPON;total / number;;448822;;;;;450458;;;;;;;;;;
