RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
R029;Austria;Oberosterreich;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;68068;69096;70580;72468;74148;75633;77938;;
R029;Austria;Oberosterreich;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;125535;128951;130838;133202;136692;138914;141654;;
AT03_2 approx.;Austria;Linz;AT;2666;Passenger cars in use;number;;;;;;;;;;47342;48302;49258;50246;51015;51535;;
AT03_2 approx.;Austria;Linz;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;;2748;2871;2964;3072;3123;3249;;
AT03_2 approx.;Austria;Linz;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;;7981;8212;8336;8613;8792;9037;;
R030;Austria;Salzburg;AT;2666;Passenger cars in use;number;;;;;;;;;264300;268904;275430;280043;285404;289742;293745;;
R030;Austria;Salzburg;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;25198;25736;26461;27369;28244;29016;29835;;
R030;Austria;Salzburg;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;39823;41107;42176;43528;44721;45724;46905;;
R031;Austria;Steiermark;AT;2666;Passenger cars in use;number;;;;;;;;;653946;664006;676453;687105;697208;707095;714567;;
R031;Austria;Steiermark;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;53361;54699;56220;57862;59300;60847;62368;;
R031;Austria;Steiermark;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;113095;116419;119203;122011;125422;127482;129723;;
R032;Austria;Tirol;AT;2666;Passenger cars in use;number;;;;;;;;;335233;342613;350821;358402;366205;372496;379058;;
R032;Austria;Tirol;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;33747;34500;35357;36544;37599;38487;39655;;
